的	白 	de dí dì					
宿	宀 	sù xiŭ xiù					
急	心 	jí					
啥	口 	shà					
抱	手 	bào					
静	青 	jìng					
靜	青 	jìng					
攻	攴 	gōng					
亚	二 	yà yā					
亞	二 	yà yā					
江	水 	jiāng					
致	至 	zhì zhuì					
陣	阜 	zhèn					
阵	阜 	zhèn					
嚴	口 	yán					
严	一 	yán					
宗	宀 	zōng					
警	言 	jĭng					
壘	土 	lĕi lèi léi lܴ					
垒	土 	lĕi lèi léi lyù					
夫	大 	fū fú					
密	宀 	mì					
睡	目 	shuì					
午	十 	wŭ					
店	广 	diàn					
势	力 	shì					
勢	力 	shì					
悲	心 	bēi					
蘭	艸 	lán					
兰	八 	lán					
幕	巾 	mù					
缘	糸 	yuán yuàn					
緣	糸 	yuán yuàn					
週	辵 	zhōu					
廠	广 	chăng					
签	竹 	qiān					
簽	竹 	qiān					
坐	土 	zuò					
香	香 	xiāng					
爽	爻 	shuăng shuāng					
控	手 	kòng qiāng					
微	彳 	wēi wéi					
登	癶 	dēng dé					
翻	羽 	fān					
普	日 	pŭ					
蠻	虫 	mán					
蛮	虫 	mán					
冷	冫 	lĕng					
威	女 	wēi					
毒	毋 	dú dài					
俊	人 	38139					
絡	糸 	luò lào					
络	糸 	luò lào					
輯	車 	jí					
辑	車 	jí					
母	毋 	mŭ mú wŭ wú					
創	刀 	chuàng chuāng					
创	刀 	chuàng chuāng					
堂	土 	táng					
赵	走 	zhào tiăo					
趙	走 	zhào tiăo diào					
套	大 	tào					
舊	臼 	jiù					
旧	日 	jiù					
杂	木 	zá					
雜	隹 	zá					
周	口 	zhōu					
述	辵 	shù					
恐	心 	kŏng					
幸	干 	xìng					
亮	亠 	liàng					
麗	鹿 	lì lí					
丽	一 	lì lí					
巴	己 	bā					
禮	示 	lĭ					
礼	示 	lĭ					
酒	酉 	jiŭ					
仁	人 	rén					
餐	食 	cān sùn					
牌	片 	pái					
突	穴 	tú tū					
腳	肉 	jiăo jué					
劍	刀 	jiàn					
剑	刀 	jiàn					
招	手 	zhāo qiáo sháo					
吉	口 	jí					
父	父 	fù fŭ					
仔	人 	zĭ zăi					
典	八 	diăn					
搞	手 	găo					
房	戶 	fáng páng					
素	糸 	sù					
防	阜 	fáng					
授	手 	shòu					
充	儿 	chōng					
草	艸 	căo zào					
暴	日 	bào pù bó					
慮	心 	lܼ/A> 					
虑	虍 	lܼ/A> 					
绍	糸 	shào					
紹	糸 	shào chāo					
背	肉 	bèi bēi					
刘	刀 	liú					
劉	刀 	liú					
委	女 	wĕi wēi					
府	广 	fŭ					
景	日 	jĭng yĭng					
憶	心 	yì					
忆	心 	yì					
尤	尢 	yóu					
诸	言 	zhū					
諸	言 	zhū chú					
缺	缶 	quē					
援	手 	yuán					
漫	水 	màn mán					
琴	玉 	qín					
罵	网 	mà					
