的	白 	de dí dì					
傧	人 	bìn					
儐	人 	bìn					
忖	心 	cŭn					
槐	木 	huái					
箕	竹 	jī					
稼	禾 	jià					
箴	竹 	zhēn jiăn					
戕	戈 	qiāng qiáng					
喋	口 	dié zhá					
疡	疒 	yáng					
瘍	疒 	yáng dàng					
甯	用 	níng nìng					
湍	水 	tuān zhuān					
暝	日 	míng mĭng					
裆	衣 	dāng					
襠	衣 	dāng					
绻	糸 	quăn					
綣	糸 	quăn					
牴	牛 	dĭ					
叟	又 	sŏu					
琍	玉 	lì lí					
慑	心 	shè zhé					
懾	心 	shè zhé					
荟	艸 	huì					
薈	艸 	huì					
皿	皿 	mĭn mĭng					
沅	水 	yuán					
砷	石 	shēn					
逖	辵 	tì					
瑯	玉 	láng					
嫵	女 	wŭ					
妩	女 	wŭ					
韆	革 	qiān					
佞	人 	nìng					
囤	囗 	dùn tún					
篆	竹 	zhuàn					
鲷	魚 	diāo					
鯛	魚 	diāo					
梆	木 	bāng					
詆	言 	dĭ tì					
诋	言 	dĭ					
軼	車 	yì dié zhé					
轶	車 	yì dié					
锢	金 	gù					
錮	金 	gù					
饞	食 	chán					
馋	食 	chán					
樕	木 	sù					
猷	犬 	yóu					
缎	糸 	duàn					
緞	糸 	duàn					
頷	頁 	hàn					
颔	頁 	hàn					
豨	豕 	xī					
迸	辵 	bèng bĭng pēng					
釜	金 	fŭ					
蛆	虫 	qū jū					
愎	心 	bì					
瑙	玉 	năo					
诤	言 	zhēng zhèng					
諍	言 	zhēng zhèng					
瀧	水 	lóng shuāng					
泷	水 	lóng shuāng					
鹫	鳥 	jiù					
鷲	鳥 	jiù					
阜	阜 	fù					
俎	人 	zŭ					
褓	衣 	băo					
濘	水 	nìng níng nì					
玆	玄 	zī cī xuán					
醃	酉 	yān					
攫	手 	jué					
怦	心 	pēng					
昴	日 	măo					
嵋	山 	méi					
詡	言 	xŭ					
诩	言 	xŭ					
宥	宀 	yòu					
喫	口 	chī jī					
暄	日 	xuān					
帼	巾 	guó					
幗	巾 	guó					
甡	生 	shēng shēn					
晞	日 	xī					
跚	足 	shān					
睪	目 	yì gāo hào zé					
臧	臣 	záng zāng zàng cáng					
驽	馬 	nú					
駑	馬 	nú					
纓	糸 	yīng					
缨	糸 	yīng					
痧	疒 	shā					
琏	玉 	lián liăn					
璉	玉 	lián liăn					
唠	口 	láo					
嘮	口 	láo					
儻	人 	tăng					
傥	人 	tăng					
捎	手 	shāo					
惻	心 	cè					
恻	心 	cè					
睨	目 	nì					
衲	衣 	nà					
杳	木 	yăo					
姣	女 	jiāo jiăo xiáo					
拮	手 	jié jiá					
槁	木 	găo kào gāo					
彧	彡 	yù					
栱	木 	gŏng					
婢	女 	bì					
簑	竹 	suō					
忑	心 	tè					
腮	肉 	sāi					
铬	金 	gè gé luò					
鉻	金 	gè gé luò gē					
蝨	虫 	shī					
躅	足 	zhú zhuó					
霁	雨 	jì					
霽	雨 	jì					
忐	心 	tăn					
嬿	女 	yàn					
驷	馬 	sì					
駟	馬 	sì					
炘	火 	xīn					
妤	女 	yú					
忪	心 	zhōng sōng					
秧	禾 	yāng					
渙	水 	huàn huì					
涣	水 	huàn					
氨	气 	ān					
滕	水 	téng					
殯	歹 	bìn					
殡	歹 	bìn					
踯	足 	zhí					
躑	足 	zhí					
狰	犬 	zhēng					
猙	犬 	zhēng					
戟	戈 	jĭ					
僮	人 	tóng zhuàng					
驮	馬 	tuó duò					
馱	馬 	tuó duò dài					
癞	疒 	lài là					
癩	疒 	lài là					
鲥	魚 	shí					
鰣	魚 	shí					
聒	耳 	guā guō					
嫦	女 	cháng					
錡	金 	qí yĭ					
谪	言 	zhé					
謫	言 	zhé zé					
姒	女 	sì					
饷	食 	xiăng					
餉	食 	xiăng					
癈	疒 	fèi					
驊	馬 	huá					
骅	馬 	huá					
胭	肉 	yān					
菅	艸 	jiān guān					
緲	糸 	miăo					
缈	糸 	miăo					
棣	木 	dì tì dài					
姝	女 	shū					
据	手 	jù jū					
纰	糸 	pí bĭ pī					
紕	糸 	pí bĭ pī bī bì chĭ					
捺	手 	nà					
犛	牛 	lí máo					
椿	木 	chūn					
嗷	口 	áo					
嘈	口 	cáo					
醺	酉 	xūn					
轫	車 	rèn					
軔	車 	rèn					
涎	水 	xián yàn diàn					
鹵	鹵 	lŭ					
钠	金 	nà					
鈉	金 	nà ruì					
鏗	金 	kēng					
铿	金 	kēng					
蜒	虫 	yán yàn dàn					
浚	水 	jùn xùn cún					
娄	米 	lóu					
婁	女 	lóu					
罈	缶 	tán					
嶙	山 	lín					
蝟	虫 	wèi					
郢	邑 	yĭng chéng					
拴	手 	shuān					
蓀	艸 	sūn					
荪	艸 	sūn					
锂	金 	lĭ					
鋰	金 	lĭ					
邋	辵 	lá lā liè					
猝	犬 	cù					
倭	人 	wēi wō wŏ					
脯	肉 	fŭ pú					
滬	水 	hù					
沪	水 	hù					
銲	金 	hàn					
甕	瓦 	wèng					
鲈	魚 	lú					
鱸	魚 	lú					
悌	心 	tì tì					
胳	肉 	gē gé gā					
胯	肉 	kuà kuă					
膊	肉 	bó pò liè					
爿	爿 	qiáng pán					
峋	山 	xún					
涘	水 	sì					
颍	頁 	yĭng					
潁	水 	yĭng					
獠	犬 	liáo lăo					
邑	邑 	yì è					
腋	肉 	yì yè					
瘁	疒 	cuì					
坻	土 	chí dĭ					
暾	日 	tūn					
鮀	魚 	tuó					
岌	山 	jí					
帘	巾 	lián					
柑	木 	gān qián					
觔	角 	jīn					
桀	木 	jié					
莠	艸 	yŏu xiù					
喟	口 	kuì					
綵	糸 	căi					
鈃	金 	xíng jiān					
澍	水 	shù zhù					
耆	老 	qí shì zhĭ					
瞠	目 	chēng zhèng					
沚	水 	zhĭ					
珣	玉 	xún xuān					
褉	衣 	xiē					
糸	糸 	mì sī					
痢	疒 	lì					
腓	肉 	féi					
蹴	足 	cù zú					
伝	人 	chuán yún					
勺	勹 	sháo zhuó					
饴	食 	yí sì					
飴	食 	yí sì					
熨	火 	yùn yù wèi					
馄	食 	hún					
餛	食 	hún kūn					
芩	艸 	qín yín					
叼	口 	diāo					
韭	韭 	jiŭ					
娩	女 	miăn wăn					
誑	言 	kuáng kuàng					
诳	言 	kuáng kuàng					
幡	巾 	fān					
鑠	金 	shuò yuè lì					
铄	金 	shuò					
膫	肉 	liáo					
璐	玉 	lù					
鑞	金 	là					
嫡	女 	dí					
犊	牛 	dú					
犢	牛 	dú					
挓	手 	zhā					
蕤	艸 	ruí					
帛	巾 	bó					
庖	广 	páo					
诿	言 	wĕi					
諉	言 	wĕi					
晡	日 	bū					
枰	木 	píng					
淅	水 	xī					
鋅	金 	xīn zĭ					
锌	金 	xīn					
荔	艸 	lì					
纣	糸 	zhòu					
紂	糸 	zhòu					
葩	艸 	pā					
缄	糸 	jiān					
緘	糸 	jiān					
擰	手 	níng nĭng nìng					
拧	手 	níng nĭng nìng					
躡	足 	niè					
蹑	足 	niè					
豊	豆 	lĭ fēng					
烯	火 	xī					
跺	足 	duò					
甬	用 	yŏng dòng					
邸	邑 	dĭ					
氟	气 	fú					
榛	木 	zhēn					
玑	玉 	jī					
璣	玉 	jī					
倜	人 	tì					
佚	人 	yì dié					
疝	疒 	shàn					
盅	皿 	zhōng chōng					
噤	口 	jìn					
烩	火 	huì					
燴	火 	huì					
窖	穴 	jiào zào					
燬	火 	huĭ					
珂	玉 	kē					
摀	手 	wŭ					
橹	木 	lŭ					
櫓	木 	lŭ					
佶	人 	jí					
烊	火 	yáng yàng					
淙	水 	cóng shuàng					
挹	手 	yì					
菀	艸 	wăn yuàn yù yùn					
猕	犬 	mí					
獼	犬 	mí					
卞	卜 	biàn					
帚	巾 	zhŏu					
洱	水 	ĕr					
谀	言 	yú					
諛	言 	yú					
鹄	鳥 	hú gŭ					
鵠	鳥 	hú gŭ hè					
镂	金 	lòu					
鏤	金 	lòu lܲ					
酮	酉 	tóng dòng chóng					
炤	火 	zhào zhāo					
碉	石 	diāo					
蹒	足 	mán pán					
蹣	足 	mán pán liăng					
坵	土 	qiū					
氦	气 	hài					
蓑	艸 	suō sāi suī					
薮	艸 	sŏu					
藪	艸 	sŏu shú còu					
矬	矢 	cuó					
臾	臼 	yú yŏng yŭ kuì					
舀	臼 	yăo					
儔	人 	chóu					
俦	人 	chóu					
恚	心 	huì					
菫	艸 	jĭn jìn qín					
雎	隹 	jū					
匾	匸 	biăn					
夤	夕 	yín					
熒	火 	yíng xíng jiŏng					
荧	艸 	yíng					
遢	辵 	tà					
哆	口 	chĭ duō					
踽	足 	jŭ					
揩	手 	kāi					
棹	木 	zhuō zhào					
鳶	鳥 	yuān					
鸢	鳥 	yuān					
壅	土 	yōng yŏng					
谒	言 	yè					
謁	言 	yè					
壑	土 	hè huò					
锾	金 	huán					
鍰	金 	huán					
讴	言 	ōu					
謳	言 	ōu xú					
只	口 	zhĭ zhī					
衹	衣 	qí zhĭ					
渤	水 	bó					
顎	頁 	è					
颚	頁 	è					
氰	气 	qīng qíng					
蛭	虫 	zhì					
胛	肉 	jiă					
涪	水 	fú póu					
畦	田 	qí xí					
颳	風 	guā					
繚	糸 	liáo răo					
缭	糸 	liáo					
邈	辵 	miăo miáo					
幄	巾 	wò					
睇	目 	dì tī tí					
臊	肉 	sāo sào					
刈	刀 	yì					
肓	肉 	huāng					
臬	自 	niè					
蹼	足 	pú pŭ					
尻	尸 	kāo					
羡	羊 	xiàn yí xiàn yán yí					
泵	石 	bèng liú pìn					
紲	糸 	xiè yì					
绁	糸 	xiè yì					
孃	女 	niáng					
蠕	虫 	ruăn rú					
辘	車 	lù					
轆	車 	lù					
戍	戈 	shù					
刨	刀 	bào páo					
拄	手 	zhŭ					
渭	水 	wèi					
嘹	口 	liáo liào					
膾	肉 	kuài					
脍	肉 	kuài					
蹙	足 	cù					
蠋	虫 	zhú					
歿	歹 	mò					
绛	糸 	jiàng					
絳	糸 	jiàng					
愍	心 	mĭn					
礫	石 	lì luò					
砾	石 	lì					
兀	儿 	wù					
夆	夂 	fēng					
恪	心 	kè					
淩	水 	líng					
蝎	虫 	hé xiē					
囪	囗 	cōng chuāng					
嘤	口 	yīng					
嚶	口 	yīng					
蠔	虫 	háo					
贛	貝 	gàn gòng zhuàng					
赣	貝 	gàn gòng					
忉	心 	dāo					
捩	手 	liè lì					
掣	手 	chè					
撬	手 	qiào					
黔	黑 	qián					
罄	缶 	qìng					
芊	艸 	qiān qiàn					
孑	子 	jié					
伕	人 	fū					
陛	阜 	bì					
脩	肉 	xiū tiáo					
钨	金 	wù wū					
鎢	金 	wù wū					
譟	言 	zào					
揶	手 	yé					
邬	邑 	wū					
鄔	邑 	wū					
靳	革 	jìn					
陕	阜 	shăn					
陝	阜 	shăn					
扈	戶 	hù					
痙	疒 	jìng					
痉	疒 	jìng					
蔘	艸 	sēn sān shēn					
蹧	足 	zāo					
氐	氏 	dĭ dī zhī					
趺	足 	fū					
甥	生 	shēng					
蹊	足 	xī qī xí					
躂	足 	tà da					
亳	亠 	bó					
饨	食 	tún tun5					
飩	食 	tún tun5 zhùn					
賃	貝 	rèn lìn					
赁	貝 	rèn lìn					
宕	宀 	dàng					
苹	艸 	píng pín pēng					
诎	言 	qù qū					
詘	言 	qù qū chù					
嗄	口 	á shà					
赀	貝 	zī					
貲	貝 	zī					
榭	木 	xiè					
覦	見 	yú					
觎	見 	yú					
纔	糸 	cái					
圜	囗 	yuán huán					
綑	糸 	kŭn					
嘀	口 	dí					
鮫	魚 	jiăo jiāo					
鲛	魚 	jiăo jiāo					
坳	土 	ào āo					
葄	艸 	zuò					
熏	火 	xūn xùn					
刎	刀 	wĕn					
潸	水 	shān					
鼬	鼠 	yòu					
顥	頁 	hào					
颢	頁 	hào					
昝	日 	zăn căn					
桎	木 	zhí zhì					
顸	頁 	hān					
頇	頁 	hān àn					
讫	言 	qì					
訖	言 	qì					
婀	女 	ē					
淬	水 	cuì zú					
輟	車 	chuò					
辍	車 	chuò					
愔	心 	yīn					
揄	手 	yú yóu					
壼	士 	kŭn					
埂	土 	gĕng					
蚜	虫 	yá					
靼	革 	dá					
彊	弓 	qiáng qiăng jiāng jiāng jiàng					
沓	水 	tà dá					
罡	网 	gāng					
彫	彡 	diāo					
谖	言 	xuān					
諼	言 	xuān					
覬	見 	jì					
觊	見 	jì					
褟	衣 	dá					
靛	青 	diàn					
鹧	鳥 	zhè					
鷓	鳥 	zhè					
屄	尸 	bī					
欉	木 	còng					
祚	示 	zuò					
锉	金 	cuò					
銼	金 	cuò					
褸	衣 	lܳ					
褛	衣 	lܳ					
搀	手 	chān					
攙	手 	chān					
胫	肉 	jìng kēng					
脛	肉 	jìng kēng					
筌	竹 	quán					
珪	玉 	guī					
摑	手 	guó					
掴	手 	guó					
柜	木 	jŭ guì					
柰	木 	nài					
崽	山 	zăi					
筊	竹 	jiăo					
蓼	艸 	liăo lù lăo liŭ					
蝣	虫 	yóu					
賁	貝 	bì bēn féi fén fèn					
贲	貝 	bì bēn féi fén fèn					
晟	日 	chéng shèng					
焙	火 	bèi					
雹	雨 	báo bó					
赈	貝 	zhèn					
賑	貝 	zhèn					
賸	貝 	shèng					
獷	犬 	guăng jĭng					
犷	犬 	guăng					
昃	日 	zè					
撂	手 	lܥ4 liào liāo liáo					
鬟	髟 	huán					
炕	火 	kàng hāng					
囿	囗 	yòu					
轭	車 	è					
軛	車 	è					
搾	手 	zhà					
簍	竹 	lŏu lܪù					
篓	竹 	lŏu					
韁	革 	jiāng					
婬	女 	yín					
瘐	疒 	yŭ					
鴝	鳥 	qú gōu gòu					
鸲	鳥 	qú					
囍	口 	xĭ					
玷	玉 	diàn diān					
幔	巾 	màn					
筵	竹 	yán					
糠	米 	kāng					
玎	玉 	dīng					
堀	土 	kū					
胝	肉 	zhī chī dì					
倨	人 	jù					
棻	木 	fén fēn					
鏖	金 	áo biāo					
掔	手 	qiān					
滮	水 	biāo					
熇	火 	hè					
仃	人 	dīng					
旌	方 	jīng					
袞	衣 	gŭn					
崴	山 	wēi					
鴣	鳥 	gū					
鸪	鳥 	gū					
翳	羽 	yì					
纂	糸 	zuăn zuàn					
畀	田 	bì					
葚	艸 	shèn rèn					
鶩	鳥 	mù					
鹜	鳥 	mù					
俚	人 	lĭ					
涔	水 	cén qián zàn					
涸	水 	hé hào					
髻	髟 	jì jié					
飕	風 	sōu					
颼	風 	sōu					
攣	手 	lܡ2n luán					
挛	手 	luán					
宓	宀 	mì fú					
倬	人 	zhuō					
珞	玉 	luò lì					
愾	心 	kài					
忾	心 	kài					
斡	斗 	wò guăn					
耦	耒 	ŏu					
壕	土 	háo					
濠	水 	háo					
鍚	金 	yáng					
鳌	魚 	áo					
鰲	魚 	áo					
捂	手 	wŭ					
腱	肉 	jiàn qián					
讒	言 	chán					
谗	言 	chán					
忒	心 	tè					
忻	心 	xīn					
萩	艸 	qiū					
羌	羊 	qiāng					
寤	宀 	wù					
踫	足 	pèng					
錠	金 	dìng					
锭	金 	dìng					
铛	金 	dāng chēng					
鐺	金 	dāng chēng tāng					
瓚	玉 	zàn					
瓒	玉 	zàn					
凊	冫 	qìng					
紘	糸 	hóng					
洵	水 	xún xuàn					
盹	目 	dùn dŭn zhūn					
暘	日 	yáng					
锟	金 	kūn					
錕	金 	kūn gŭn					
鎊	金 	bàng pāng					
镑	金 	bàng					
卬	卩 	áng yăng					
蕎	艸 	qiáo jiāo					
荞	艸 	qiáo jiāo					
鴞	鳥 	xiāo					
砝	石 	fá fă jié gé					
胼	肉 	pián					
蛔	虫 	huí					
嗑	口 	kè hé					
唅	口 	hān hán hàn					
栲	木 	kăo					
啖	口 	dàn					
瓯	瓦 	ōu					
甌	瓦 	ōu ŏu					
埼	土 	qí					
梏	木 	gù jué					
琱	玉 	diāo					
豋	豆 	dēng					
擤	手 	xĭng					
齰	齒 	cuò zé					
迤	辵 	yĭ tuō yí tuó					
硯	石 	yàn					
砚	石 	yàn					
篾	竹 	miè					
鐲	金 	zhuó shŭ					
镯	金 	zhuó					
癣	疒 	xiăn xuăn					
癬	疒 	xiăn xuăn					
驪	馬 	lí chí					
骊	馬 	lí					
囥	囗 	kàng					
桹	木 	láng					
鋃	金 	láng					
锒	金 	láng					
弁	廾 	biàn pán					
忸	心 	niŭ niŭ nܴ					
啣	口 	xián					
釦	金 	kòu					
瘠	疒 	jí zì					
鲔	魚 	wĕi					
鮪	魚 	wĕi					
搵	手 	wèn					
漉	水 	lù					
粿	米 	guŏ					
儆	人 	jĭng					
祗	示 	zhī					
唳	口 	lì					
戡	戈 	kān					
鉉	金 	xuàn					
铉	金 	xuàn					
纨	糸 	wán					
紈	糸 	wán					
蜉	虫 	fú					
鸨	鳥 	băo					
鴇	鳥 	băo					
芍	艸 	shuò què sháo xiào dì					
抡	手 	lún lūn					
掄	手 	lún lūn					
滇	水 	diān tián zhēn					
皑	白 	ái					
皚	白 	ái					
褊	衣 	biăn piān					
駢	馬 	pián					
骈	馬 	pián					
臏	肉 	bìn					
膑	肉 	bìn					
黠	黑 	xiá					
囁	口 	niè					
嗫	口 	niè					
鱔	魚 	shàn					
鳝	魚 	shàn					
锶	金 	sōng sī					
鍶	金 	sōng sī					
怼	心 	duì					
懟	心 	duì					
闩	門 	shuān					
閂	門 	shuān					
砧	石 	zhēn					
痍	疒 	yí					
貉	豸 	hé háo mò háo mà					
慇	心 	yīn					
擢	手 	zhuó					
璠	玉 	fán					
汕	水 	shàn shuàn					
听	口 	tīng tìng yín					
啕	口 	táo					
庾	广 	yŭ					
轾	車 	zhì					
輊	車 	zhì					
霑	雨 	zhān					
誊	言 	téng					
謄	言 	téng					
彝	彐 	yí					
斓	文 	lán					
斕	文 	lán					
憭	心 	liăo liáo					
懌	心 	yì					
怿	心 	yì					
蕁	艸 	xún qián tán					
荨	艸 	xún qián tán					
纇	糸 	lèi					
衊	血 	miè					
豕	豕 	shĭ					
腴	肉 	yú					
溥	水 	pŭ fū bù bó pò					
蜷	虫 	quán juăn					
褥	衣 	rù nù					
瞼	目 	jiăn					
睑	目 	jiăn					
鬃	髟 	zōng					
醮	酉 	jiào qiáo zhàn					
鐳	金 	léi					
镭	金 	léi					
瞅	目 	chŏu					
熠	火 	yì					
黧	黑 	lí lái					
戇	心 	gàng zhuàng					
戆	心 	gàng zhuàng					
奐	大 	huàn					
奂	大 	huàn					
弒	弋 	shì					
毡	毛 	zhān					
氈	毛 	zhān					
鮆	魚 	jì					
囓	口 	niè					
惇	心 	dūn					
蜇	虫 	zhé zhē					
懍	心 	lĭn					
撻	手 	tà					
挞	手 	tà					
戽	戶 	hù					
渟	水 	tíng					
杷	木 	pá bà					
舢	舟 	shān					
迨	辵 	dài					
冢	冖 	zhŏng					
娌	女 	lĭ					
斛	斗 	hú					
鄂	邑 	è					
裨	衣 	bì pí					
燎	火 	liào liáo liăo					
臃	肉 	yŏng yōng					
餮	食 	tiè					
讖	言 	chèn chàn					
谶	言 	chèn					
蕘	艸 	ráo yáo					
荛	艸 	ráo yáo					
佃	人 	diàn tián					
柢	木 	dĭ					
軻	車 	kē					
轲	車 	kē					
璩	玉 	qú					
瑀	玉 	yŭ					
萹	艸 	piān biān					
踉	足 	láng liáng liàng làng					
皖	白 	wăn huàn					
镒	金 	yì					
鎰	金 	yì					
褴	衣 	băo lán					
襤	衣 	lán					
侄	人 	zhí					
俵	人 	biào					
凈	冫 	jìng					
净	冫 	jìng					
颀	頁 	qí kĕn					
頎	頁 	qí kĕn					
嶠	山 	jiào qiáo					
峤	山 	jiào qiáo					
颟	頁 	mán mān					
顢	頁 	mán mān					
灝	水 	hào					
灏	水 	hào					
孓	子 	jué					
岷	山 	mín					
柬	木 	jiăn					
钴	金 	gū gú gŭ					
鈷	金 	gū gú gù hú gŭ					
輓	車 	wăn					
慼	心 	qī					
璎	玉 	yīng					
瓔	玉 	yīng					
种	禾 	chóng zhŏng zhòng					
惙	心 	chuò					
黽	黽 	mĭn méng mĕng miăn					
黾	黽 	mĭn méng mĕng miăn					
闥	門 	tà					
闼	門 	tà					
髯	髟 	rán					
橇	木 	qiāo qiào cuì					
簸	竹 	bò bŏ					
畬	田 	yú shē					
綪	糸 	qiàn zhēng					
蹓	足 	liū liù					
圻	土 	qí yín					
冑	冂 	zhòu					
哂	口 	shĕn					
曷	曰 	hé					
浹	水 	jiá jiā					
浃	水 	jiá jiā					
覃	襾 	tán qín yăn					
睥	目 	bì pì					
釉	釆 	yòu					
缟	糸 	găo					
縞	糸 	găo					
佘	人 	shé					
媞	女 	tí dì					
揕	手 	zhèn					
鄢	邑 	yān					
翦	羽 	jiăn					
鹆	鳥 	yù					
鵒	鳥 	yù					
莢	艸 	jiá					
荚	艸 	jiá					
翕	羽 	xì					
萋	艸 	qī					
搆	手 	gòu					
鎬	金 	hào găo					
镐	金 	hào găo					
蘑	艸 	mó					
骞	馬 	qiān					
騫	馬 	qiān jiăn					
骡	馬 	luó					
騾	馬 	luó					
荇	艸 	xìng					
酢	酉 	zuò cù					
殞	歹 	yŭn					
殒	歹 	yŭn					
踰	足 	yú					
醛	酉 	quán chuò					
鳢	魚 	lĭ					
鱧	魚 	lĭ					
倣	人 	făng páng					
陉	阜 	xíng jìng					
陘	阜 	xíng jìng					
帧	巾 	zhèng					
幀	巾 	zhèng					
鳃	魚 	sāi xĭ					
鰓	魚 	sāi xĭ					
欷	欠 	xī					
豝	豕 	bā					
酚	酉 	fēn					
痾	疒 	ē kē					
皙	白 	xī					
悭	心 	qiān					
慳	心 	qiān					
碓	石 	duì duī					
铢	金 	zhū					
銖	金 	zhū					
暹	日 	xiān					
簌	竹 	sù					
攷	攴 	káo kăo					
咈	口 	fú					
肏	肉 	cào					
摽	手 	piăo biāo biào					
醚	酉 	mí					
茨	艸 	cí					
舷	舟 	xián					
惴	心 	zhuì					
鈐	金 	qián hán					
钤	金 	qián					
綬	糸 	shòu					
绶	糸 	shòu					
膈	肉 	gé					
豭	豕 	jiā					
濬	水 	38139					
旡	无 	jì					
殛	歹 	jí					
裾	衣 	jū jù					
嬲	女 	niăo niăo					
泗	水 	sì					
肱	肉 	gōng					
匍	勹 	pú					
媾	女 	gòu					
蓆	艸 	xí					
鴆	鳥 	zhèn					
鸩	鳥 	zhèn					
澧	水 	lĭ					
攆	手 	niăn					
撵	手 	niăn					
猡	犬 	luó					
玀	犬 	luó ĕ					
乜	乙 	miē niè					
廌	广 	jiàn zhì					
坏	土 	pī péi huài					
怵	心 	chù					
晷	日 	guĭ					
瘉	疒 	yù					
羸	羊 	léi lián					
纍	糸 	léi lèi lĕi					
硃	石 	zhū					
螻	虫 	lóu					
蝼	虫 	lóu					
昉	日 	făng					
珩	玉 	héng					
茯	艸 	fú					
淖	水 	nào chuò zhuō zhào					
屣	尸 	xĭ					
慬	心 	jĭn jìn qín					
蹌	足 	qiāng qiàng					
跄	足 	qiāng qiàng					
淞	水 	sōng sòng					
硼	石 	péng pēng					
犒	牛 	kào					
飓	風 	jù					
颶	風 	jù					
蟠	虫 	pán fán					
觐	見 	jĭn					
覲	見 	jĭn jìn					
藷	艸 	shŭ					
亍	二 	chù					
柎	木 	fū fŭ fù					
柺	木 	guăi					
盻	目 	xì					
衾	衣 	qīn					
晢	日 	zhē xī zhé zhì					
喑	口 	yīn yìn					
喏	口 	rĕ nuò					
噉	口 	dàn					
鋏	金 	jiá					
铗	金 	jiá					
铡	金 	zhá					
鍘	金 	zhá					
奘	大 	zàng zhuăng					
畚	田 	bĕn					
袈	衣 	jiā					
谌	言 	chén					
諶	言 	chén shén					
阯	阜 	zhĭ					
岬	山 	jiă					
嗐	口 	hài					
瑗	玉 	yuàn huán					
弈	廾 	yì					
绌	糸 	zhuó chù					
絀	糸 	zhuó chù					
琿	玉 	hún huī					
珲	玉 	hún huī					
粳	米 	gēng jīng					
哝	口 	nóng					
噥	口 	nóng					
磴	石 	dèng dēng					
餽	食 	kuì					
骠	馬 	piào biāo					
驃	馬 	piào biāo					
忤	心 	wŭ					
舺	舟 	jiá jiă xiá					
袪	衣 	qū					
汾	水 	fén pén fēn					
怛	心 	dá					
玥	玉 	yuè					
兗	儿 	yăn					
皋	白 	gāo gū háo					
皰	皮 	pào					
黍	黍 	shŭ					
蒿	艸 	hāo găo					
賒	貝 	shē shā					
赊	貝 	shē shā					
豌	豆 	wān					
檐	木 	yán dān					
麋	鹿 	mí					
砒	石 	pī					
掂	手 	diān					
跏	足 	jiā					
煢	火 	qióng					
茕	艸 	qióng					
艄	舟 	shāo shào					
葑	艸 	fēng fèng					
壆	土 	bó					
遶	辵 	rào răo					
錩	金 	chāng					
螯	虫 	áo					
鯁	魚 	gĕng					
鲠	魚 	gĕng					
蠑	虫 	róng					
蝾	虫 	róng					
苎	艸 	méng zhù					
苧	艸 	zhù níng					
旎	方 	nĭ					
孳	子 	zī zì					
裟	衣 	shā					
锰	金 	mĕng					
錳	金 	mĕng					
簪	竹 	zān zăn					
霪	雨 	yín					
彳	彳 	chì					
扡	手 	yĭ chĭ tuō					
厎	厂 	zhĭ					
柘	木 	zhè					
掇	手 	duó duō					
媺	女 	mĕi					
粲	米 	càn					
恹	心 	yàn					
懨	心 	yān					
蹔	足 	zhàn zàn					
蹭	足 	cèng céng					
麤	鹿 	cū					
杓	木 	sháo biāo shuó					
啁	口 	zhōu zhāo					
鉑	金 	bó					
铂	金 	bó					
颌	頁 	hàn gé hé					
頜	頁 	hé hàn gé hán qīn					
褶	衣 	zhé zhĕ dié xí					
醣	酉 	táng					
齟	齒 	jŭ zhā					
龃	齒 	jŭ					
鳏	魚 	yín guān					
鰥	魚 	yín guān guàn kūn gŭn					
掤	手 	bīng					
笳	竹 	jiā					
脢	肉 	méi					
戭	戈 	yăn yĭn					
妁	女 	shuò					
侑	人 	yòu					
伥	人 	chāng					
倀	人 	chāng					
巽	己 	xùn					
漕	水 	cáo cào					
箸	竹 	zhù zhuó					
殮	歹 	liàn					
殓	歹 	liàn					
曩	日 	năng					
魑	鬼 	chī					
孥	子 	nú					
殂	歹 	cú					
党	儿 	dăng					
凄	冫 	qī					
剐	刀 	guă					
剮	刀 	guă					
豜	豕 	jiān					
憍	心 	jiāo					
囔	口 	nāng					
艮	艮 	gèn gĕn hén					
幃	巾 	wéi					
帏	巾 	wéi					
煖	火 	nuăn xuān					
冪	冖 	mì					
簞	竹 	dān					
箪	竹 	dān					
潋	水 	liàn					
瀲	水 	liàn					
齬	齒 	yŭ wú					
龉	齒 	yŭ					
卌	十 	xì					
裎	衣 	chéng chĕng					
阡	阜 	qiān					
姘	女 	pīn					
枸	木 	gŏu gōu jŭ					
栘	木 	yĭ yí					
舨	舟 	băn					
瓠	瓜 	hù hú huò gū					
脣	肉 	chún					
毽	毛 	jiàn					
濮	水 	pū pú					
榈	木 	lܲ					
櫚	木 	lܲ					
榇	木 	chèn					
櫬	木 	chèn qìn guàn					
鼇	黽 	áo					
汜	水 	sì					
郅	邑 	zhì zhī jí					
旂	方 	qí					
雃	隹 	yă					
犍	牛 	jiān qián jiăn					
摶	手 	tuán zhuān					
抟	手 	tuán zhuān					
榖	木 	gŭ					
儌	人 	jiăo yáo					
獒	犬 	áo					
闍	門 	dū shé					
騄	馬 	lù					
鬘	髟 	mán					
枇	木 	pí bĭ bì					
陂	阜 	pō bēi bì pí					
毬	毛 	qiú					
廄	广 	jiù					
鞅	革 	yăng yāng					
辎	車 	zī					
輜	車 	zī zì					
褡	衣 	dā					
怙	心 	hù					
腊	肉 	là xī					
痹	疒 	bì					
苒	艸 	răn					
掖	手 	yì yē yĕ					
釭	金 	gōng gāng					
媧	女 	wā					
娲	女 	wā					
愆	心 	qiān					
楝	木 	liàn					
萵	艸 	wō					
莴	艸 	wō					
铵	金 	ān					
銨	金 	ān ăn					
鴒	鳥 	líng					
贗	貝 	yàn					
